# EventNumber	SB0_Raw_ADC_Value	Timestamp
4989	1686	1636369503
4992	1677	1636881020
5002	1732	1639923390
5029	1721	1646551296
5030	1716	1646969018
5034	1775	1648326628
5043	1788	1651081226
5049	1700	1655568116
5068	1715	1661567360
5069	1694	1661656013
5074	1736	1662733808
5088	1697	1666958192
5090	1672	1667591480
5092	1708	1667827227
5125	1721	1678142231
5126	1696	1678366618
5131	1691	1680405253
5141	1738	1681585102
5148	1674	1682802062
5150	1695	1683538628
5153	1704	1684764650
5158	1722	1685494800
5168	1722	1687773278
5169	1695	1687802350
5170	1668	1687851714
5171	1681	1687960192
5183	1692	1690891274
5184	1729	1691123605
5186	1724	1691309238
5195	1681	1692846293
5216	1702	1699217807
5239	1740	1704027639
5241	1728	1705450029
5242	1745	1705467388
5244	1705	1706479716
5251	1728	1708257515
5257	1646	1710227698
5260	1652	1711430052
5266	1712	1713083913
5272	1703	1716643718
5274	1689	1718278930
5277	1454	1719836210
5283	1682	1720884263
5287	1694	1722274731
5294	1730	1723197945
5312	1683	1727868452
5327	1737	1733818181
5328	1727	1735915885
5341	1703	1739641478
5351	1741	1743963499
5355	1757	1744638066
5358	1676	1745166095
5361	1690	1746455537
5363	1747	1746595523
5370	1708	1747215183
5371	1659	1747373342
5377	1636	1749066604
5378	1677	1749295757
5404	1709	1755460172
5413	1724	1758256883
5415	1724	1758791387
5423	1690	1762888930
5428	1772	1763906963
5435	1699	1765950226
5468	1687	1778603847
5469	1679	1779554991
5474	1681	1781592266
5478	1728	1783131137
5482	1755	1783673334
5484	1732	1784567333
5495	1731	1787478659
5496	1666	1787571125
5506	1662	1789907943
5511	1695	1791014030
5526	1710	1793902850
5529	1700	1794748567
5531	1714	1795052323
5532	1700	1795087089
5536	1719	1797163123
5540	1740	1799190574
5544	1718	1800305433
5555	1739	1804953844
5567	1687	1807627783
5568	1715	1808097007
5575	1718	1809558161
5576	1696	1809590703
5591	1718	1814560832
5599	1680	1815872774
5607	1731	1820008075
5621	1800	1823524252
5623	1730	1824524313
5625	1738	1825125616
5626	1703	1825295113
5633	1665	1825960192
5634	597	1826141600
5641	1697	1828640881
5655	1748	1832850823
5657	1688	1833201484
5664	1714	1835844612
5665	1693	1835921025
5666	1717	1836131222
5671	1312	1839193944
5675	1641	1839936983
5682	1719	1843042652
5684	1690	1843756000
5685	1689	1843871004
5686	1678	1844033908
5692	1668	1845964773
5693	1695	1846087779
5702	1703	1847371003
5710	1746	1848507944
5712	1750	1849195757
5723	1676	1852317035
5725	1669	1853060050
5736	1664	1856820250
5745	1739	1860774812
5746	1727	1861576282
5749	1716	1861951096
5753	1717	1862585904
5763	1673	1864974575
5766	1718	1865550730
5770	1748	1866381173
5782	1719	1869310786
5789	1227	1871497468
5791	1693	1872201010
5797	1730	1874764665
5799	1666	1875149131
5800	1763	1875197619
5820	1696	1882193332
5824	1134	1882608179
5833	1697	1885250552
5837	1688	1886028168
5845	1659	1888673243
5847	1776	1891111941
5852	1719	1892561204
5853	1679	1893181603
5856	1692	1893976267
5863	1677	1895246361
5867	1692	1896966311
5871	1675	1897823100
5876	1753	1900889826
5898	1720	1909563644
5905	1735	1911218376
5912	1690	1913665256
5919	1062	1916300396
5923	1744	1917222152
5933	1683	1921479260
5952	1711	1925752466
5960	1005	1927679347
5963	1134	1928654376
5964	1726	1929275932
5974	1738	1931797409
5989	1728	1936277045
5992	1693	1936961175
6008	1731	1942422812
6012	1697	1943652620
6013	1710	1943658696
6017	1755	1944481575
6020	1749	1945489533
6021	1652	1945501813
6025	1696	1946175738
6026	1686	1946398966
6035	1719	1950706608
6045	1687	1952371694
6046	1740	1953015420
6050	1720	1954903196
6060	1714	1956637117
6063	1708	1956938270
6064	1685	1957277598
6066	1730	1957350874
6068	1677	1957473463
6069	1654	1957749172
6076	1670	1962255578
6078	1044	1962919929
6081	1758	1964076638
6087	1354	1965877826
6088	1691	1966194990
6093	1699	1967296460
6103	1735	1970691609
6113	1696	1973593239
6128	1688	1978871856
6131	1754	1979038179
6140	1687	1983514736
6150	1689	1985986803
6155	1693	1987004563
6166	674	1988852537
6167	1672	1989116753
6175	1741	1991366814
6180	1701	1992184257
6190	1759	1994553073
6197	1686	1996331832
6206	1736	2002408282
6226	1715	2012077802
6227	1678	2012581764
6232	1675	2013901773
6234	1681	2015440143
6238	1664	2016230099
6240	1778	2016748084
6245	1749	2017835962
6252	1714	2019227118
6254	1714	2019659379
6260	1760	2020557228
6262	1760	2024395119
6274	1740	2027399827
6281	1659	2028357745
6287	1691	2029578415
6294	1663	2030931897
6300	1740	2033404964
6303	1721	2034440224
6318	1776	2039127492
6320	1716	2040634196
6327	1707	2043390277
6335	1715	2045801113
6339	1722	2047148470
6347	1710	2048942429
6348	1695	2048993076
6350	1693	2050238823
6353	1720	2050640362
6365	1718	2055024770
6378	1699	2059510450
6382	1769	2060283818
6387	1690	2064107907
6396	1712	2065711490
6419	1690	2071742098
6436	1745	2078275929
6438	1721	2079624966
6458	1707	2088128058
6459	1686	2088396143
6470	1725	2090478585
6491	649	2098452454
6494	1710	2099262688
6496	1770	2099878229
6497	1714	2100036402
6500	1721	2100790776
6511	1771	2106043426
6513	1713	2107567925
6521	1741	2110298022
6525	1710	2111948788
6532	785	2113341383
6534	1768	2113966797
6539	1702	2115082630
6560	1730	2118922427
6564	1647	2119946888
6565	1693	2119962561
6569	1739	2120136437
6570	1718	2120393752
6587	1357	2125418902
6588	1673	2125677816
6590	1753	2126009736
6591	1728	2126040991
6605	1723	2129085319
6608	1636	2130207161
6611	1747	2130687055
6612	1733	2130973154
6616	1693	2131326567
6623	1740	2133040192
6625	1688	2133956294
6634	1691	2136685110
6636	1694	2137146370
6639	1704	2138090914
6644	1739	2138926078
6650	1723	2139577329
6651	1696	2139981257
6655	825	2140207204
6663	1729	2144625795
6666	1703	2147037517
6682	1733	2150651695
6695	1683	2154341806
6698	1759	2155629833
6705	1695	2157795035
6710	1748	2159639336
6729	1724	2164766432
6744	1710	2168271358
6746	1691	2168836284
6747	1687	2169002407
6754	1765	2170666573
6757	1683	2171088039
6764	1756	2173490279
6765	1746	2173690270
6769	1668	2174548573
6774	1654	2176196796
6776	1734	2176717526
6799	1669	2184595619
6801	1720	2185059553
6804	1702	2185936584
6814	1708	2189408267
6818	1711	2190746970
6825	1715	2192667993
6830	1709	2193682653
6835	1724	2195598181
6839	1700	2198067323
6863	1723	2208285737
6873	1712	2210502028
6875	1654	2210766913
6876	1774	2210809408
6899	1670	2218460946
6900	1767	2219029160
6904	1727	2219803840
6910	1722	2222799684
6917	1763	2227269492
6940	1720	2232191760
6948	1725	2233227257
6956	1692	2235694280
6957	1730	2236472584
6962	1690	2238978420
6965	1757	2239310721
6967	1664	2239353524
6974	1717	2241260822
6980	1726	2242817670
6992	1704	2247382061
6994	1704	2247513670
6995	1690	2247598821
6997	1661	2247984392
7007	1765	2249349711
7017	1721	2251965235
7034	1724	2258348897
7050	1764	2262738007
7056	1647	2266749918
7058	1702	2267012407
7065	1725	2268971066
7082	1735	2276356930
7105	1680	2282423336
7108	1787	2283098924
7110	1723	2284434743
7113	1756	2288415257
7114	1746	2288775215
7139	1747	2293396305
7141	1679	2294869317
7143	1739	2294914423
7149	1710	2296495667
7164	1724	2300835768
7167	1706	2302451537
7169	1676	2303038268
7173	1646	2304429859
7174	1678	2304501776
7180	1668	2306891563
7201	1674	2312851681
7204	1770	2314195220
7206	1697	2314439801
7210	1688	2316098177
7253	1728	2333090533
7254	1735	2333277486
7270	1738	2339767103
7278	1676	2341193286
7280	1717	2342213747
7282	1681	2342877334
7292	1743	2347902027
7295	1739	2348435306
7301	1758	2349433995
7306	1750	2350485751
7312	1692	2351346448
7316	1741	2352057970
7318	1698	2352817315
7321	1345	2353521803
7332	1657	2355790948
7343	1708	2360081812
7349	1715	2361393430
7360	1695	2363533267
7361	1686	2364063694
7371	1746	2366232521
7374	1688	2368516839
7380	1765	2370548805
7381	1668	2370673346
7395	1761	2375199201
7397	1722	2375859837
7406	1730	2379779692
7424	1698	2386049286
7433	1748	2390662029
7435	1719	2391147795
7452	1734	2396416683
7456	1705	2397867341
7457	1285	2399031633
7458	1718	2399114121
7468	1718	2401113894
7472	1684	2401855603
7475	1692	2402148519
7476	1259	2402522844
7485	1720	2405414634
7499	1761	2411648062
7509	1744	2417072632
7513	1719	2418195704
7529	1720	2424848735
7532	1696	2425127307
7538	1689	2426086662
7545	1740	2431209848
7557	1732	2433879435
7565	1736	2437622342
7571	1740	2439791745
7578	1722	2441686099
7582	1727	2442638466
7584	1698	2443094114
7594	1727	2444912057
7599	1725	2446361766
7603	1728	2447237902
7611	1763	2451156874
7621	1681	2455106040
7625	1714	2457266516
7635	1723	2459223530
7653	1701	2463689527
7658	1746	2465234907
7662	1671	2466423300
7673	1714	2469047409
7674	1792	2471095415
7679	1696	2471929939
7683	1704	2472847217
7684	1672	2473596679
7693	1734	2475590765
7695	1663	2475816990
7699	1727	2477567796
7701	1744	2478164707
7703	573	2479355582
7706	1676	2479920933
7724	1741	2484525684
7730	1709	2486506147
7735	1724	2487117997
7739	1715	2489487502
7749	1720	2493843706
7751	1718	2494125913
7754	1715	2494716462
7756	1663	2495780749
7765	1766	2498999990
7770	1695	2499965402
7790	1684	2506115826
7815	1711	2513900471
7839	1671	2523315923
7846	1686	2525249022
7851	1706	2526781615
7866	1747	2529718832
7867	559	2529856608
7868	1671	2530224524
7873	1741	2533252305
7877	1751	2534257739
7883	1695	2536459345
7894	1768	2539267113
7899	1682	2540878593
7916	1753	2546470943
7917	1695	2546532599
7920	1724	2546827388
7921	1709	2547191653
7922	888	2547465844
7931	1691	2551034171
7936	1667	2555100102
7939	1728	2555585866
7947	1748	2558205824
7957	1670	2562801003
7964	1719	2564969938
7980	1713	2572107152
7995	1732	2577834215
8005	1706	2579287500
8008	1642	2579509677
8012	1717	2580063559
8015	1685	2581311430
8049	1675	2594926070
8064	1731	2598564351
8070	1713	2602007687
8085	1756	2607932568
8092	1744	2609437628
8094	1704	2609490141
8098	1703	2612042543
8104	1670	2615392434
8109	1736	2616800501
8121	1733	2619113104
8122	1745	2619777278
8125	1725	2620438492
8126	1727	2620647224
8127	1707	2620693315
8144	1730	2625512455
8148	1745	2627106037
8156	1629	2628988579
8160	1740	2629802962
8161	1753	2630311191
8165	1666	2631240540
8172	1677	2635162722
8183	1723	2638943845
8191	1452	2640935368
8207	1741	2643974402
8210	1698	2645764362
8216	1708	2648566972
8221	1684	2649778504
8229	1653	2652721972
8230	1702	2652838857
8233	1743	2653701486
8234	1710	2655501826
8242	1683	2657169377
8256	1739	2660307654
8272	1737	2665639687
8280	1727	2668030883
8300	1719	2678930725
8312	1728	2681874341
8326	1684	2686228310
8327	1678	2686352063
8337	1726	2690981594
8343	1716	2693322867
8350	1720	2697243147
8351	1731	2697891688
8365	1709	2700632453
8369	1728	2701024802
8372	1696	2702069672
8375	1740	2702636182
8384	1692	2705141356
8392	1689	2707050586
8395	1774	2707625890
8397	1755	2707702902
8405	1705	2710051253
8409	1773	2710694920
8412	1689	2711327334
8420	1732	2714075041
8423	1760	2714737370
8434	1664	2720858472
8438	1726	2722313728
8440	1678	2722363369
8443	1252	2723165547
8444	1732	2724051263
8449	1732	2725968749
8455	1784	2727737641
8460	1194	2728709670
8462	1695	2729324300
8464	1792	2729639926
8468	1754	2730673426
8474	1784	2732312603
8491	1716	2739045786
8494	1673	2739571006
8501	1720	2742550640
8506	1686	2744327038
8529	1697	2750316710
8533	1699	2751069954
8536	1707	2752134417
8545	1250	2754486568
8550	1736	2755280181
8551	1320	2755808348
8557	1704	2761260151
8558	1733	2761622611
8570	1702	2765074298
8575	1689	2767379900
8590	1732	2770035693
8592	1665	2770601103
8595	1714	2771427797
8605	1725	2773658947
8607	1663	2773971279
8610	1742	2774900134
8614	750	2775339455
8624	1713	2779659798
8634	1717	2784801444
8645	1776	2786836292
8646	1683	2787037779
8652	1751	2788545446
8667	1676	2794440490
8680	1723	2800989362
8688	1687	2802765776
8695	1744	2803581524
8702	1691	2806622673
8708	1725	2810057753
8720	1724	2817770720
8721	1714	2818874825
8731	1698	2821341436
8733	1764	2821743953
8736	1758	2822919070
8738	1709	2823255767
8742	1716	2824737493
8748	1701	2826254862
8761	1721	2829098623
8767	1708	2831943996
8771	1726	2833181077
8782	1693	2835294164
8783	1701	2835328129
8790	1730	2840010952
8821	1669	2849578695
8822	1731	2849707861
8823	1731	2850233723
8826	1707	2851684362
8835	1675	2853333703
8838	1736	2853834102
8841	1761	2854391396
8843	1733	2854943589
8852	1683	2856621769
8853	1662	2858779780
8871	1701	2861949587
8879	1621	2863598204
8881	1754	2863868965
8888	1765	2865657790
8895	1701	2867457965
8903	1664	2872554462
8905	1743	2873003841
8912	1714	2876047488
8913	1667	2876787578
8921	1734	2881070727
8922	1711	2881187279
8923	1745	2881436380
8927	1687	2883712698
8930	1701	2884478419
8933	1132	2885423540
8934	1704	2885694125
8935	1734	2885749397
8938	1681	2886062333
8955	1705	2890382762
8975	1708	2896364684
8987	1712	2902889956
8993	1757	2903669564
8999	1696	2905699806
9000	1700	2906093478
9004	1679	2906999417
9026	1717	2912299348
9033	1656	2914324385
9035	1719	2915111118
9049	1741	2917712874
9062	1709	2923805447
9070	1664	2926002519
9073	1669	2926430759
9089	1724	2931241540
9097	1699	2934337714
9105	1738	2936763135
9108	1770	2937281992
9116	1325	2942138048
9142	1728	2952898109
